id,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
1,36.3945638760924,-80.2658248599619,0,2021-02-11T23:08:04Z,,,08-001,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
2,36.3947621081024,-80.2659634966403,0,2021-02-11T23:08:04Z,,,08-001T,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
3,36.3955148868263,-80.2648731786758,0,2021-02-11T23:08:04Z,,,08-002,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
4,36.3970819674432,-80.2632785215974,0,2021-02-11T23:08:04Z,,,08-003,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
5,36.3995485100895,-80.2608776092529,0,2021-02-11T23:08:04Z,,,08-004,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
6,36.4011629484594,-80.2597133629024,0,2021-02-11T23:08:04Z,,,08-005,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
7,36.4026252552867,-80.2606439217925,0,2021-02-11T23:08:04Z,,,08-006,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
8,36.4036332629621,-80.2594474889338,0,2021-02-11T23:08:04Z,,,08-007,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
9,36.405142173171,-80.2583414129913,0,2021-02-11T23:08:04Z,,,08-008,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
10,36.4127922523767,-80.252740541473,0,2021-02-11T23:08:04Z,,,08-009,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
11,36.4173163007945,-80.2310615032911,0,2021-02-11T23:08:04Z,,,08-010,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
12,36.414262605831,-80.222918651998,0,2021-02-11T23:08:04Z,,,08-011,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
13,36.4122551400214,-80.2167040575296,0,2021-02-11T23:08:04Z,,,08-012,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
14,36.409669155255,-80.2112517133355,0,2021-02-11T23:08:04Z,,,08-013,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
15,36.4087007101625,-80.2084684185684,0,2021-02-11T23:08:04Z,,,08-014,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
16,36.4092498086393,-80.2058190666139,0,2021-02-11T23:08:04Z,,,08-015,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
17,36.409124834463,-80.2030578162521,0,2021-02-11T23:08:04Z,,,08-016,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
18,36.407629083842,-80.2018197253346,0,2021-02-11T23:08:04Z,,,08-017,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
19,36.407790184021,-80.2002811431885,0,2021-02-11T23:08:04Z,,,08-018,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
20,36.4080365281552,-80.1986925210804,0,2021-02-11T23:08:04Z,,,08-019,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
21,36.408318746835,-80.199093176052,0,2021-02-11T23:08:04Z,,,08-019T,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
22,36.4218668360263,-80.1719677448273,0,2021-02-11T23:08:04Z,,,08-020,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
23,36.4021865464747,-80.1375117525458,0,2021-02-11T23:08:04Z,,,08-021,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
24,36.4016927685589,-80.1378975715488,0,2021-02-11T23:08:04Z,,,08-022,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
